step,contact,physical_contact,moving,spin,geometry_contact_possible,sensor_raw_force,virtual_force,raw_force,filtered_force,pad_compression,z_offset,normal_tilt,path,pause,stable_steps,actual_clearance
225,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.03599949733610329,0.0,0.07849999999999996,16.929900156091318,0.0,0,0,0.10505012848397319
240,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.03599999999684162,0.0,0.07699999999999992,16.929900156091318,0.0,0,0,0.03306564805935138
255,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.03599999999999999,0.0,0.07549999999999987,16.929900156091318,0.0,0,0,-0.0005188921197372895
270,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.03599022406443822,0.0,0.07889999999999997,16.929900156091318,0.0,0,0,0.005728425369546632
285,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.03599999993857489,0.0,0.07739999999999993,16.929900156091318,0.0,0,0,0.01719798743026862
300,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.03599999999999962,0.0,0.07589999999999988,16.929900156091318,0.0,0,0,0.022317839189588698
315,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.07439999999999984,16.929900156091318,0.0,0,0,0.024811434922007408
330,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.0728999999999998,16.929900156091318,0.0,0,0,0.026613984253080786
345,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.07139999999999976,16.929900156091318,0.0,0,0,0.02746885318453628
360,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.06989999999999971,16.929900156091318,0.0,0,0,0.027301086866393195
375,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.06839999999999967,16.929900156091318,0.0,0,0,0.02641494770175615
390,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.06689999999999963,16.929900156091318,0.0,0,0,0.025167043372144118
405,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.06539999999999958,16.929900156091318,0.0,0,0,0.02376792315027175
420,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.06389999999999954,16.929900156091318,0.0,0,0,0.022309278958013476
435,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.0623999999999995,16.929900156091318,0.0,0,0,0.020829204312690003
450,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.060899999999999455,16.929900156091318,0.0,0,0,0.01934005189990532
465,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.05939999999999941,16.929900156091318,0.0,0,0,0.01784667385287139
480,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.05789999999999937,16.929900156091318,0.0,0,0,0.016353522632486385
495,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.056399999999999326,16.929900156091318,0.0,0,0,0.014859916827609839
510,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.05489999999999928,16.929900156091318,0.0,0,0,0.013366049750265228
525,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.05339999999999924,16.929900156091318,0.0,0,0,0.011872003783032539
540,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.0518999999999992,16.929900156091318,0.0,0,0,0.010377062499124904
555,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.050399999999999154,16.929900156091318,0.0,0,0,0.00888305745004523
570,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.04889999999999911,16.929900156091318,0.0,0,0,0.00738890196765958
585,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.04739999999999907,16.929900156091318,0.0,0,0,0.005896367180354725
600,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.045899999999999025,16.929900156091318,0.0,0,0,0.004402031481942042
615,1,1,1,1,1,7.433265686035156,0.28600000000050674,0.28600000000050674,0.24584579687550145,0.0005000000000010135,0.04439999999999898,16.090764518641908,0.08333333333333333,0,6,0.0032168535027672376
