run_id,polish_pass,step,path_idx_float,waypoint_idx,filtered_force_n,target_force_n,z_offset,cmd_clearance,actual_gap,actual_clearance,pad_compression,virtual_force_n,soft_force_limit_n,band_lo_n,band_hi_n,contacting,in_band,overpressure,stable_contact_steps,high_force_pause_steps,wp_kappa_max,wp_kappa_min,wp_tilt_deg,wp_rho_edge,wp_dtheta_n,p_target_force,p_stiffness,p_damping,p_speed_scale,p_press_vel,p_adm_damping,p_adm_mass,p_lag_gain,p_force_alpha,p_creep_advance
SL2_baseline_0_r0,0,548,0.0133333337,0,0,5,0.0676666647,0.0576666668,0.0476328842,0.047622256,0,0,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,549,0.0266666673,0,0.38499999,5,0.0673333332,0.0573333316,0.0475798696,0.0474842563,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,550,0.0399999991,0,0.55825001,5,0.0670000017,0.057,0.048618827,0.0479084328,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,551,0.0533333346,0,0.636212528,5,0.0666666701,0.0566666685,0.0487642884,0.0486429818,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,552,0.0666666701,0,0.671295643,5,0.0663333312,0.0563333333,0.0494767912,0.0491131246,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,553,0.0799999982,0,0.687083006,5,0.0659999996,0.0560000017,0.0497951508,0.049473986,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,554,0.0933333337,0,0.694187343,5,0.0656666681,0.0556666665,0.0503306948,0.0501760989,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,555,0.106666669,0,0.697384298,5,0.0653333366,0.055333335,0.0503329411,0.049033273,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,556,0.119999997,0,0.698822916,5,0.0649999976,0.0549999997,0.0510404892,0.0477608591,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,557,0.13333334,0,0.699470341,5,0.0646666661,0.0546666682,0.0505661555,0.0499237478,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,558,0.146666661,0,0.699761629,5,0.0643333346,0.0543333329,0.0506693609,0.0486073196,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,559,0.159999996,0,0.699892759,5,0.064000003,0.0540000014,0.0509783328,0.0506909117,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,560,0.173333332,0,0.699951708,5,0.0636666641,0.0536666662,0.0505689569,0.0493336953,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,561,0.186666667,0,0.699978292,5,0.0633333325,0.0533333346,0.0509693883,0.0495678261,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,562,0.200000003,0,0.699990213,5,0.063000001,0.0529999994,0.0506832749,0.0499396175,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,563,0.213333338,0,0.699995577,5,0.0626666695,0.0526666678,0.0508007333,0.0501083657,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,564,0.226666674,0,0.699998021,5,0.0623333342,0.0523333326,0.0504505225,0.0479754508,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,565,0.239999995,0,0.699999094,5,0.061999999,0.0520000011,0.0507770516,0.0489887744,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,566,0.25333333,0,0.699999571,5,0.0616666675,0.0516666658,0.0501188971,0.0483911149,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,567,0.266666681,0,0.699999809,5,0.0613333322,0.0513333343,0.0504092686,0.0484491289,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,568,0.280000001,0,0.699999928,5,0.0610000007,0.050999999,0.0500288531,0.0487000942,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,569,0.293333322,0,0.699999988,5,0.0606666654,0.0506666675,0.049814079,0.0486993603,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,570,0.306666672,0,0.699999988,5,0.0603333339,0.0503333323,0.0499703139,0.0495217927,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,571,0.319999993,0,0.699999988,5,0.0599999987,0.0500000007,0.0494275503,0.048860006,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,572,0.333333343,0,0.699999988,5,0.0596666671,0.0496666655,0.0498382039,0.0496084914,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,573,0.346666664,0,0.699999988,5,0.0593333319,0.049333334,0.0492204241,0.0489314459,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,574,0.360000014,0,0.699999988,5,0.0590000004,0.0489999987,0.0497917384,0.0488169268,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,575,0.373333335,0,0.699999988,5,0.0586666651,0.0486666672,0.0491701625,0.0489188433,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,576,0.386666656,0,0.699999988,5,0.0583333336,0.0483333319,0.0492102839,0.0487736389,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
SL2_baseline_0_r0,0,577,0.400000006,0,0.699999988,5,0.0579999983,0.0480000004,0.0492523611,0.0488219485,0,0.699999988,6,2.5,9.25,0,0,0,0,0,-0.167705372,-18.3597507,88.6836548,0.592417061,6.91175747,5,350,35,3,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
