episode_id,cell_id,x,y,z,surface_normal_x,surface_normal_y,surface_normal_z,force_N,rpm,feed_mm_s,step_over_mm,step_over_ratio,pass_count,roughness_before,roughness_after,scratch_before,scratch_after,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_before_um,clearcoat_after_um,clearcoat_removed_um,is_defect,dwell_weighted_s,contact_steps,recipe_id,surface_seed
0,19,0.001000,0.039000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.429734,0.255117,0.000000,0.000000,0.287853,0.166582,1.686183,1.112159,40.0000,38.8173,1.182697,0,33.9804,446,recipe_00020,1000
0,20,0.001000,0.041000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.296570,0.180235,0.000000,0.000000,0.161051,0.113175,1.423962,0.904744,40.0000,38.7972,1.202789,0,34.3844,456,recipe_00020,1000
0,21,0.001000,0.043000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.130835,0.102471,0.000000,0.000000,0.092256,0.084816,0.546501,0.395654,40.0000,38.7887,1.211266,0,34.6676,462,recipe_00020,1000
0,22,0.001000,0.045000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.080026,0.094984,0.000000,0.000000,0.068087,0.080387,0.268579,0.346796,40.0000,38.7888,1.211242,0,34.9648,470,recipe_00020,1000
0,23,0.001000,0.047000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.073654,0.096262,0.000000,0.000000,0.059766,0.081980,0.268579,0.346796,40.0000,38.7956,1.204368,0,35.0911,472,recipe_00020,1000
0,24,0.001000,0.049000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.067999,0.095443,0.000000,0.000000,0.053943,0.081154,0.265803,0.346796,40.0000,38.8006,1.199365,0,35.1370,472,recipe_00020,1000
0,25,0.001000,0.051000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.076833,0.094064,0.000000,0.000000,0.053996,0.078831,0.320768,0.346563,40.0000,38.8011,1.198925,0,35.1934,474,recipe_00020,1000
0,26,0.001000,0.053000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.192490,0.131505,0.000000,0.000000,0.084086,0.089390,0.879353,0.583869,40.0000,38.8065,1.193503,0,35.1231,472,recipe_00020,1000
0,27,0.001000,0.055000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.340481,0.204679,0.000000,0.000000,0.177444,0.121116,1.586347,1.020477,40.0000,38.8176,1.182435,0,35.0630,472,recipe_00020,1000
0,28,0.001000,0.057000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,7,0.446375,0.263423,0.000000,0.000000,0.296998,0.169968,1.760221,1.163670,40.0000,38.8094,1.190561,0,35.3028,486,recipe_00020,1000
0,29,0.001000,0.059000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,7,0.524551,0.313604,0.000816,0.000000,0.395986,0.225693,1.811676,1.233057,40.0000,38.8216,1.178438,1,35.5022,496,recipe_00020,1000
0,30,0.001000,0.061000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,7,0.565549,0.343691,0.470481,0.143374,0.449079,0.259912,1.871837,1.311677,40.0000,39.0324,0.967572,1,35.5419,498,recipe_00020,1000
0,31,0.001000,0.063000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,7,0.560060,0.339778,1.404195,0.855558,0.449902,0.260289,1.865210,1.301959,40.0000,39.4130,0.587043,1,35.4159,492,recipe_00020,1000
